location,date,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,population
India,2021-01-01,10266674,18771,148738,97,0,0,0,1380004385
India,2021-02-01,10761873,20432,154486,133,112000,0,0,1380004385
India,2021-03-01,11150456,22187,157346,168,2450000,340000,0,1380004385
India,2021-04-01,12589017,28765,165101,234,18500000,4200000,0,1380004385
India,2021-05-01,19164969,45678,211853,456,45000000,12500000,0,1380004385
India,2021-06-01,28175095,67890,335102,789,95000000,28500000,0,1380004385
India,2021-07-01,31440232,87654,421568,1234,185000000,75000000,0,1380004385
India,2021-08-01,31896730,98765,426789,1456,285000000,125000000,0,1380004385
India,2021-09-01,33245678,112345,445678,1789,385000000,185000000,0,1380004385
India,2021-10-01,34012345,123456,456789,2345,485000000,245000000,0,1380004385
India,2021-11-01,34345678,134567,465678,2567,585000000,325000000,0,1380004385
India,2021-12-01,34678901,145678,472345,2789,685000000,425000000,0,1380004385
India,2022-01-01,35678901,156789,485678,3123,785000000,525000000,0,1380004385
India,2022-02-01,36678901,167890,498901,3456,885000000,625000000,0,1380004385
India,2022-03-01,37678901,178901,512345,3789,985000000,725000000,0,1380004385
India,2022-04-01,38678901,189012,525678,4123,1085000000,825000000,0,1380004385
India,2022-05-01,39678901,200123,538901,4456,1185000000,925000000,0,1380004385
India,2022-06-01,40678901,211234,552345,4789,1285000000,1025000000,0,1380004385
India,2022-07-01,41678901,222345,565678,5123,1385000000,1125000000,0,1380004385
India,2022-08-01,42678901,233456,578901,5456,1485000000,1225000000,0,1380004385
India,2022-09-01,43678901,244567,592345,5789,1585000000,1325000000,0,1380004385
India,2022-10-01,44678901,255678,605678,6123,1685000000,1425000000,0,1380004385
India,2022-11-01,45678901,266789,618901,6456,1785000000,1525000000,0,1380004385
India,2022-12-01,46678901,277890,632345,6789,1885000000,1625000000,0,1380004385
India,2023-01-01,47678901,288901,645678,7123,1985000000,1725000000,0,1380004385
United States,2021-01-01,20495678,234567,356789,2345,12500000,0,0,331002651
United States,2021-02-01,21894567,267890,378901,2678,28500000,4200000,0,331002651
United States,2021-03-01,23567890,298765,412345,2987,48500000,12500000,0,331002651
United States,2021-04-01,25890123,345678,445678,3456,78500000,28500000,0,331002651
United States,2021-05-01,28567890,398765,478901,3987,108500000,48500000,0,331002651
United States,2021-06-01,31234567,456789,512345,4567,138500000,68500000,0,331002651
United States,2021-07-01,33890123,512345,545678,5123,168500000,88500000,0,331002651
United States,2021-08-01,36567890,567890,578901,5678,198500000,108500000,0,331002651
United States,2021-09-01,39234567,623456,612345,6234,228500000,128500000,0,331002651
United States,2021-10-01,41890123,678901,645678,6789,258500000,148500000,0,331002651
United States,2021-11-01,44567890,734567,678901,7345,288500000,168500000,0,331002651
United States,2021-12-01,47234567,789012,712345,7890,318500000,188500000,0,331002651
United States,2022-01-01,49890123,845678,745678,8456,348500000,208500000,0,331002651
United States,2022-02-01,52567890,901234,778901,9012,378500000,228500000,0,331002651
United States,2022-03-01,55234567,956789,812345,9567,408500000,248500000,0,331002651
United States,2022-04-01,57890123,1012345,845678,10123,438500000,268500000,0,331002651
